Date,Media Sources,Neutral,Positive,Text,Tweet Polarity,Tweets Ago
09/18/2017,BBC News (UK),0.769,0.0,"Nerf guns can lead to serious eye injuries, doctors warn https://t.co/n9shn7dm6w",-0.1779,100
09/18/2017,BBC News (UK),0.652,0.0,Housing money wasted 'propping up rents' https://t.co/WyWfkcdLQ5,-0.4939,99
09/18/2017,BBC News (UK),0.738,0.0,Strictly Come Dancing: Judge Rinder rejects same-sex dance pairings https://t.co/EmB7V2GVBx,-0.4939,98
09/18/2017,BBC News (UK),0.745,0.0,Fire crews tackle White Hart Lane blaze https://t.co/zY5UEafYZv,-0.34,97
09/18/2017,BBC News (UK),1.0,0.0,UK 'biggest audience' in Europe for jihadist web content https://t.co/wDNtHzktyV,0.0,96
09/18/2017,BBC News (UK),1.0,0.0,Scottish and Welsh plans to amend Brexit bill to be outlined https://t.co/o1WwURVKzP,0.0,95
09/18/2017,BBC News (UK),0.403,0.0,Rochdale Council's child abuse failings 'unforgiveable' https://t.co/K6Ty5LldVK,-0.8126,94
09/18/2017,BBC News (UK),0.752,0.248,"Tuesday's Sun: ""Facebook bans our heroes"" https://t.co/cx4HXyhzus #BBCPapers #tomorrowspaperstoday (via @AllieHBNews)",0.5106,93
09/18/2017,BBC News (UK),0.69,0.0,"Tuesday's Times: ""Climate change disaster can be averted, say experts"" https://t.co/olbnFoKTQ8 #BBCPapers (via @AllieHBNews)",-0.6597,92
09/18/2017,BBC News (UK),1.0,0.0,"Tuesday's Mirror: ""The shaming of Ryanair"" https://t.co/4kHVXwh6uN #BBCPapers #tomorrowspaperstoday (via @AllieHBNews)",0.0,91
09/18/2017,BBC News (UK),1.0,0.0,"Tuesday's Express: ""May: I'm driving Britain out of EU"" https://t.co/9YaQCxvWgJ #BBCPapers (via @AllieHBNews)",0.0,90
09/18/2017,BBC News (UK),1.0,0.0,"Tuesday's Star: ""Rooney just one pint from jail"" https://t.co/D7fsoBepef #BBCPapers #tomorrowspaperstoday (via @AllieHBNews)",0.0,89
09/18/2017,BBC News (UK),1.0,0.0,"Tuesday's FT: ""May issues rebuke to Johnson and tightens grip on Brexit talks"" https://t.co/cBitQ0ct5u #BBCPapers (via @AllieHBNews)",0.0,88
09/18/2017,BBC News (UK),1.0,0.0,"Tuesday's i: ""May vs Boris: PM takes back control"" https://t.co/dqkie9cxyx #BBCPapers #tomorrowspaperstoday (via @AllieHBNews)",0.0,87
09/18/2017,BBC News (UK),1.0,0.0,"Tuesday's Metro: ""It's a flight old mess!""https://t.co/R8fD5kZdFN #BBCPapers #tomorrowspaperstoday (via @AllieHBNews)",0.0,86
09/18/2017,BBC News (UK),0.649,0.0,"RT @BBCSport: ""I could feel the vibrations go through my body.""

Adam Hollioake was caught up in a suicide bomb attack.

Read more https://…",-0.8957,85
09/18/2017,BBC News (UK),0.877,0.0,RT @bbcweather: Another chilly one tonight with low single figures in some rural spots. Nick https://t.co/XkF3k3TC7w,-0.2732,84
09/18/2017,BBC News (UK),0.803,0.106,RT @BBCPanorama: These woman paid $25k to be smuggled to Europe. Watch to find out how they keep their money safe from robbers #bbcpanorama…,0.1027,83
09/18/2017,BBC News (UK),1.0,0.0,"Now on @BBCOne. 

@BBCPanorama on Africa's migrant trade https://t.co/sDYZCznTHP",0.0,82
09/18/2017,BBC News (UK),0.455,0.0,"Police arrest ""road rage"" swan 🚔

https://t.co/xlQ4zLUpnP https://t.co/ezoTd5spZz",-0.7184,81
09/18/2017,BBC News (UK),0.678,0.0,RT @BBCNewsbeat: A Narcos location scout has been killed in central Mexico. Just how dangerous is it there? https://t.co/VHxaz3pYbq,-0.8225,80
